type,initiative,state
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, AK
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, AK
Reducing preterm birth,ASTHO Healthy Babies Challenge, AK
Reducing infant mortality,ASTHO Healthy Babies Challenge, AK
Fostering collective impact,ASTHO Healthy Babies Challenge, AK
Reducing infant mortality,COIIN, AL
Quality improvement,COIIN, AL
Fostering collective impact,COIIN, AL
Fostering collective impact,EWSE, AL
Addressing social determinants of health,EWSE, AL
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, AL
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, AL
Reducing preterm birth,ASTHO Healthy Babies Challenge, AL
Reducing infant mortality,ASTHO Healthy Babies Challenge, AL
Fostering collective impact,ASTHO Healthy Babies Challenge, AL
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, AS
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, AS
Reducing preterm birth,ASTHO Healthy Babies Challenge, AS
Reducing infant mortality,ASTHO Healthy Babies Challenge, AS
Fostering collective impact,ASTHO Healthy Babies Challenge, AS
Preconception health,AMCHP Preconception Health ALC, AZ
Fostering collective impact,AMCHP Preconception Health ALC, AZ
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, AZ
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, AZ
Reducing preterm birth,ASTHO Healthy Babies Challenge, AZ
Reducing infant mortality,ASTHO Healthy Babies Challenge, AZ
Fostering collective impact,ASTHO Healthy Babies Challenge, AZ
Reducing infant mortality,COIIN, AR
Quality improvement,COIIN, AR
Fostering collective impact,COIIN, AR
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, AR
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, AR
Reducing preterm birth,ASTHO Healthy Babies Challenge, AR
Reducing infant mortality,ASTHO Healthy Babies Challenge, AR
Fostering collective impact,ASTHO Healthy Babies Challenge, AR
Reducing late preterm birth (<39 weeks),March of Dimes Big 5, CA
Reducing preterm birth,March of Dimes Big 5, CA
Quality improvement,March of Dimes Big 5, CA
Fostering collective impact,March of Dimes Big 5, CA
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, CA
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, CA
Reducing preterm birth,ASTHO Healthy Babies Challenge, CA
Reducing infant mortality,ASTHO Healthy Babies Challenge, CA
Fostering collective impact,ASTHO Healthy Babies Challenge, CA
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, CO
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, CO
Reducing preterm birth,ASTHO Healthy Babies Challenge, CO
Reducing infant mortality,ASTHO Healthy Babies Challenge, CO
Fostering collective impact,ASTHO Healthy Babies Challenge, CO
Fostering collective impact,NGA Learning Network, CT
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, CT
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, CT
Reducing preterm birth,ASTHO Healthy Babies Challenge, CT
Reducing infant mortality,ASTHO Healthy Babies Challenge, CT
Fostering collective impact,ASTHO Healthy Babies Challenge, CT
Preconception health,AMCHP Preconception Health ALC, DE
Fostering collective impact,AMCHP Preconception Health ALC, DE
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, DE
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, DE
Reducing preterm birth,ASTHO Healthy Babies Challenge, DE
Reducing infant mortality,ASTHO Healthy Babies Challenge, DE
Fostering collective impact,ASTHO Healthy Babies Challenge, DE
Reducing late preterm birth (<39 weeks),AWHONN Go The Full 40, DC
Reducing late preterm birth (<39 weeks),ASTHO Healthy Babies Challenge, DC
Reducing preterm birth,ASTHO Healthy Babies Challenge, DC
Reducing infant mortality,ASTHO Healthy Babies Challenge, DC
Fostering collective impact,ASTHO Healthy Babies Challenge, DC
Reducing infant mortality,COIIN, FL
Quality improvement,COIIN, FL
Fostering collective impact,COIIN, FL
Fostering collective impact,EWSE, FL
Addressing social determinants of health,EWSE, FL
Preconception health,AMCHP Preconception Health ALC, FL
